fname,itp,tp_prob,its,ts_prob
2019.06.24.540.SC.MET.npz,[964],[ 0.70931834],[1286],[ 0.80301446]
2019.06.24.30.SC.MET.npz,[1349],[ 0.6113789],[2453],[ 0.20061253]
2019.06.24.360.SC.MET.npz,[],[],[2065],[ 0.58292735]
2019.06.24.60.SC.MET.npz,[2437],[ 0.63242733],[2678],[ 0.81045634]
2019.06.24.390.SC.MET.npz,[1421],[ 0.62977064],[],[]
2019.06.24.450.SC.MET.npz,[1184],[ 0.7119327],[1470],[ 0.71943104]
2019.06.24.180.SC.MET.npz,[43],[ 0.94389814],[432],[ 0.8493062]
2019.06.24.420.SC.MET.npz,[],[],[],[]
2019.06.24.690.SC.MET.npz,[2028],[ 0.7073566],[2241],[ 0.4880386]
2019.06.24.570.SC.MET.npz,[1375],[ 0.72914517],[],[]
2019.06.24.150.SC.MET.npz,[],[],[409],[ 0.59373486]
2019.06.24.0.SC.MET.npz,[],[],[],[]
2019.06.24.120.SC.MET.npz,[],[],[],[]
2019.06.24.510.SC.MET.npz,[],[],[],[]
2019.06.24.660.SC.MET.npz,[],[],[815],[ 0.67597663]
2019.06.24.630.SC.MET.npz,[],[],[2127],[ 0.45495138]
2019.06.24.90.SC.MET.npz,[1993],[ 0.607497],[2263],[ 0.47835118]
2019.06.24.480.SC.MET.npz,[],[],[],[]
2019.06.24.270.SC.MET.npz,[],[],[],[]
2019.06.24.330.SC.MET.npz,[],[],[],[]
2019.06.24.210.SC.MET.npz,[],[],[],[]
2019.06.24.750.SC.MET.npz,[],[],[1561],[ 0.5341674]
